path,filename,category,phase,status,checks,gate,json_valid,size_bytes,sha256
data/processed/can_hil/phase6_4/phase6_4_uncertainty_calibration.json,phase6_4_uncertainty_calibration.json,json_evidence,phase6_4,PRESENT,,,,2393,2669838c5d0e46cb89b04bc7179d6b1ba7729159f7b49b46fa0804436d2e0513
data/processed/crss_2024/crash_features.parquet,crash_features.parquet,other,non_phase,PRESENT,,,,470861,4982622117d48613ecfaf9cbe87e095ddb576e232ca0790a318022486f2df0f8
data/processed/crss_2024/cyber_physical_feature_spec.json,cyber_physical_feature_spec.json,json_evidence,non_phase,PRESENT,,,,1638,5c68af2f17174d6712c743e047894cab3d5b4f1276194bcdd9eff0dcef0d224d
data/processed/crss_2024/cyber_physical_features.parquet,cyber_physical_features.parquet,other,non_phase,PRESENT,,,,724598,a1f4cad95681670e4060a77fb6a1dd9c5f3fb16e82e0a72d6102812fb2a40f74
data/processed/crss_2024/environment_features.parquet,environment_features.parquet,other,non_phase,PRESENT,,,,403019,8b3e606c221d15fb3d62b92933a6748b9862da03a3425dd499e3e737b38780cd
data/processed/crss_2024/event_features.parquet,event_features.parquet,other,non_phase,PRESENT,,,,1286281,5bb5ad86438e027e28895d6d04c4703b607528ee50349121ead1dc43e2eb0289
data/processed/crss_2024/occupant_features.parquet,occupant_features.parquet,other,non_phase,PRESENT,,,,1364975,96cc851932a57d78429cb95b25f6891c95bcfde66b378cb36a3b426f2824c20c
data/processed/crss_2024/phase1_quality_report.json,phase1_quality_report.json,json_evidence,non_phase,PRESENT,,,,1182,0305ea6fa4857119f2e1f9ce67087b010b96b8a61850e33a5beedabed3ef11ce
data/processed/crss_2024/vehicle_features.parquet,vehicle_features.parquet,other,non_phase,PRESENT,,,,1299509,32e034ee0e50b125da05a3058a1e9ddd60e5b2ad809be66cf4ff040cb591e775
data/processed/cyber_telemetry/crss_2024_cyber_telemetry.parquet,crss_2024_cyber_telemetry.parquet,other,non_phase,PRESENT,,,,25871157,91a67793ce16ccd5dcbe644c5b039b2104141aa678982c6d16fe16fed48e3212
data/processed/modeling/sequences/X_test.npy,X_test.npy,other,non_phase,PRESENT,,,,93331616,66e4b2e01f2f3c2792f2d8732dab0fcb8cd3e4f20fe0cf9af1af84dfadec175f
data/processed/modeling/sequences/X_train.npy,X_train.npy,other,non_phase,PRESENT,,,,432379904,ccce45c4383aae989f51695610f051191dca8326d77334b9f54ddc7b7578673e
data/processed/modeling/sequences/X_validation.npy,X_validation.npy,other,non_phase,PRESENT,,,,92097920,5f28bbdb1d4e381227b3021729d881fe2a19f9061f4d9148f4d8c853c00b743f
data/processed/modeling/sequences/crss_2024_sequence_metadata.json,crss_2024_sequence_metadata.json,json_evidence,non_phase,PRESENT,,,,3907,a40bba790f02fd34bbb147e9b386c1a27d5a9a3a6c9012f12f91956d54df02dc
data/processed/modeling/sequences/scenario_ids_test.npy,scenario_ids_test.npy,other,non_phase,PRESENT,,,,1205112,ef1e63852daadd3c46d0cb113a28ed84fc5e91a01ff4019a4bd65d3fdedc2b30
data/processed/modeling/sequences/scenario_ids_train.npy,scenario_ids_train.npy,other,non_phase,PRESENT,,,,5836240,46e751e7aa5d87813a8067585594cb692892a09e6d5c8f8d63cacbf85891ff26
data/processed/modeling/sequences/scenario_ids_validation.npy,scenario_ids_validation.npy,other,non_phase,PRESENT,,,,1189184,2260c9e5e5fc40b6a966f6921a8564f8fe0d268b0e55b983c0958bb80b58bf91
data/processed/modeling/sequences/v2/X_test_v2.npy,X_test_v2.npy,other,non_phase,PRESENT,,,,82815392,0152219828289aac8d5472b1ba14ce2954d7ff199c21f103d0ade888d1724652
data/processed/modeling/sequences/v2/X_train_v2.npy,X_train_v2.npy,other,non_phase,PRESENT,,,,383661056,860d2e4a220c03d52aa3b40dbd908b9c00f2e7da95043efd5675ead0bda6baf8
data/processed/modeling/sequences/v2/X_validation_v2.npy,X_validation_v2.npy,other,non_phase,PRESENT,,,,81720704,433de9c13d4114da2ea9b3c8ee0497bd69eea854c58ddcc0a82304546174e944
data/processed/modeling/sequences/v2/crss_2024_sequence_metadata_v2.json,crss_2024_sequence_metadata_v2.json,json_evidence,non_phase,PRESENT,,,,3284,3a107cf466c30e5b28e6236392a130f38fd8245dd1f6f520705f9eb39e859ac6
data/processed/modeling/sequences/v2/scenario_ids_test_v2.npy,scenario_ids_test_v2.npy,other,non_phase,PRESENT,,,,342674,9fd428a7a4e9fc440b04749593e21c37b6c3dd2b6ee01316211a47c71d39dddb
data/processed/modeling/sequences/v2/scenario_ids_train_v2.npy,scenario_ids_train_v2.npy,other,non_phase,PRESENT,,,,1586521,cd03f1e7db5a26fa8e31286b3d3e44a7b698426e32d5678c047de76717f93c41
data/processed/modeling/sequences/v2/scenario_ids_validation_v2.npy,scenario_ids_validation_v2.npy,other,non_phase,PRESENT,,,,338149,cb4fdc92e8cfc44675a7bd58e89ac3d237ff370e21e48c2ecf410b6d7a119058
data/processed/modeling/sequences/v2/y_3step_test_v2.npy,y_3step_test_v2.npy,other,non_phase,PRESENT,,,,13821,79fc918e6deb6736bd953ce2f786173841e5dfb7dea4f3b7bcf57e710e73ad03
data/processed/modeling/sequences/v2/y_3step_train_v2.npy,y_3step_train_v2.npy,other,non_phase,PRESENT,,,,63564,5429730a9568e7591ed6eb8842bb3b7f06770f0619579d798b9ff49c034c8a0e
data/processed/modeling/sequences/v2/y_3step_validation_v2.npy,y_3step_validation_v2.npy,other,non_phase,PRESENT,,,,13640,a1b26b205d5adea07129ed100192a49dba2bb15e84baae56e3b9d8bca5a1858d
data/processed/modeling/sequences/v2/y_6step_test_v2.npy,y_6step_test_v2.npy,other,non_phase,PRESENT,,,,13821,79fc918e6deb6736bd953ce2f786173841e5dfb7dea4f3b7bcf57e710e73ad03
data/processed/modeling/sequences/v2/y_6step_train_v2.npy,y_6step_train_v2.npy,other,non_phase,PRESENT,,,,63564,5429730a9568e7591ed6eb8842bb3b7f06770f0619579d798b9ff49c034c8a0e
data/processed/modeling/sequences/v2/y_6step_validation_v2.npy,y_6step_validation_v2.npy,other,non_phase,PRESENT,,,,13640,a1b26b205d5adea07129ed100192a49dba2bb15e84baae56e3b9d8bca5a1858d
data/processed/modeling/sequences/v2_forecasting/X_test_v2_forecasting.npy,X_test_v2_forecasting.npy,other,non_phase,PRESENT,,,,289853552,37809a4e846f3fb8ef8fe76174e34095d280cf693f5b9b76693e02ec0ff632a7
data/processed/modeling/sequences/v2_forecasting/X_train_v2_forecasting.npy,X_train_v2_forecasting.npy,other,non_phase,PRESENT,,,,1342813376,72835bedf02598f53d813257ba5c0d5f26a960f1a8ab69b967c6b6c6d67f0391
data/processed/modeling/sequences/v2_forecasting/X_validation_v2_forecasting.npy,X_validation_v2_forecasting.npy,other,non_phase,PRESENT,,,,286022144,ccfa0c3a64e55dbf34da6c57eadd2c92c71a8d1d9e9ec4e2ad648313554743e1
data/processed/modeling/sequences/v2_forecasting/crss_2024_forecasting_tensor_metadata.json,crss_2024_forecasting_tensor_metadata.json,json_evidence,non_phase,PRESENT,,,,4021,4a7cb39b777830057d5c3883ff039bd9e2069fe9cd8cf86feefe870dcebf266e
