dataset,year,table,variable,role,family,manual_page,expected_sas_name,actual_sas_name,format,element_values,definition,verification_status
CRSS,2024,person.csv,IMPACT1,candidate_feature,occupant_person,272,person.IMPACT1,"Vehicle.IMPACT1, Person.IMPACT1, Parkwork.PIMPACT1, Damage.DAMAGE","2 subfields: Subfield 1, 2 numeric; Subfield 2, Select All That Apply","Subfield 1: Areas of Impact—Initial Contact Point Codes Attributes 00 Non-Collision 01-12 Clock Points 13 Top 14 Undercarriage 61 Left 62 Left - Front Side 63 Left - Back Side 81 Right 82 Right - Front Side 83 Right - Back Side 18 Cargo/Vehicle Parts Set in Motion 19 Other Objects or Person Set in Motion 20 Object Set in Motion, Unknown if Cargo/Vehicle Parts or Other 98 Not Reported 99 Reported as Unknown Subfield 2: Damaged Areas Codes Attributes 01-12 Clock Values 13 Top 14 Undercarriage 15 No Damage 99 Damage Areas Unknown",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,person.csv,FIRE_EXP,candidate_feature,occupant_person,318,person.FIRE_EXP,"Vehicle.FIRE_EXP, Person.FIRE_EXP, Parkwork.PFIRE",1 numeric,Codes Attributes 0 No or Not Reported 1 Yes,This element identifies whether or not a fire in any way related to the crash occurred in this vehicle.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,vehicle.csv,HARM_EV,candidate_feature,vehicle,103,vehicle.HARM_EV,"Accident.HARM_EV, Vehicle.HARM_EV, Person.HARM_EV, Parkwork.PHARM_EV",2 numeric,"Non-Collision Harmful Events: Codes Attributes 01 Rollover/Overturn 02 Fire/Explosion 03 Immersion or Partial Immersion 04 Gas Inhalation 51 Jackknife (harmful to this vehicle) 06 Injured in Vehicle (Non-Collision) 44 Pavement Surface Irregularity (Ruts, Potholes, Grates, etc.) 07 Other Non-Collision 16 Thrown or Falling Object 72 Cargo/Equipment Loss, Shift, or Damage (harmful) 05 Fell/Jumped from Vehicle Collision With Motor Vehicle In-Transport: Codes Attributes 12 Motor Vehicle In-Transport 54 Motor Vehicle In-Transport Strikes or is Struck by Cargo, Persons, or Objects Set in Motion from/by Another Motor Vehicle In-Transport 55 Motor Vehicle in Motion Outside the Trafficway Collision With Object Not Fixed: Codes Attributes 08 Pedestrian 09 Pedalcyclist 10 Railway Vehicle 74 Road Vehicle on Rails 11 Live Animal",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,vehicle.csv,MAN_COLL,candidate_feature,vehicle,117,vehicle.MAN_COLL,"Accident.MAN_COLL, Vehicle.MAN_COLL, Person.MAN_COLL, Parkwork.PMAN_COLL",2 numeric,Codes Attributes 00 The First Harmful Event was Not a Collision with a Motor Vehicle In-Transport 01 Front-to-Rear 02 Front-to-Front 06 Angle 07 Sideswipe-Same Direction 08 Sideswipe-Opposite Direction 09 Rear-to-Side 10 Rear-to-Rear 11 Other 98 Not Reported 99 Reported as Unknown,"This element identifies the orientation of two motor vehicles in-transport when they are involved in the FIRST HARMFUL EVENT of a collision crash. If the FIRST HARMFUL EVENT is not a collision between two motor vehicles in-transport, it is classified as such.",VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,vehicle.csv,TRAV_SP,candidate_feature,vehicle,264,vehicle.TRAV_SP,Vehicle.TRAV_SP,3 numeric,Codes Attributes 000 Stopped Motor Vehicle In-Transport 001-151 Reported Speed up to 151 mph 997 Greater Than 151 mph 998 Not Reported 999 Reported as Unknown,This element records the speed the vehicle was traveling prior to the occurrence of the crash as reported by the investigating officer.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,vehicle.csv,ROLLOVER,candidate_feature,vehicle,269,vehicle.ROLLOVER,"Vehicle.ROLLOVER, Person.ROLLOVER",1 numeric,Codes Attributes 0 No Rollover 3 Rollover 8 Not Applicable,This element identifies whether a rollover or overturn occurred during the crash involving this vehicle.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,vehicle.csv,IMPACT1,candidate_feature,vehicle,272,vehicle.IMPACT1,"Vehicle.IMPACT1, Person.IMPACT1, Parkwork.PIMPACT1, Damage.DAMAGE","2 subfields: Subfield 1, 2 numeric; Subfield 2, Select All That Apply","Subfield 1: Areas of Impact—Initial Contact Point Codes Attributes 00 Non-Collision 01-12 Clock Points 13 Top 14 Undercarriage 61 Left 62 Left - Front Side 63 Left - Back Side 81 Right 82 Right - Front Side 83 Right - Back Side 18 Cargo/Vehicle Parts Set in Motion 19 Other Objects or Person Set in Motion 20 Object Set in Motion, Unknown if Cargo/Vehicle Parts or Other 98 Not Reported 99 Reported as Unknown Subfield 2: Damaged Areas Codes Attributes 01-12 Clock Values 13 Top 14 Undercarriage 15 No Damage 99 Damage Areas Unknown",,SAS_NAME_MATCH_REQUIRES_REVIEW
CRSS,2024,vehicle.csv,DEFORMED,candidate_feature,vehicle,281,vehicle.DEFORMED,"Vehicle.DEFORMED, Parkwork.PVEH_SEV",1 numeric,"Codes Attributes 0 No Damage 2 Minor Damage 4 Functional Damage 6 Disabling Damage 7 Damage Reported, Extent Unknown 8 Not Reported 9 Reported as Unknown",This element indicates the amount of damage sustained by this vehicle in this crash as indicated in the case materials based on an operational damage scale.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,vehicle.csv,FIRE_EXP,candidate_feature,vehicle,318,vehicle.FIRE_EXP,"Vehicle.FIRE_EXP, Person.FIRE_EXP, Parkwork.PFIRE",1 numeric,Codes Attributes 0 No or Not Reported 1 Yes,This element identifies whether or not a fire in any way related to the crash occurred in this vehicle.,VERIFIED_SAS_NAME_AND_DEFINITION
CRSS,2024,vehicle.csv,SPEEDREL,candidate_feature,vehicle,366,vehicle.SPEEDREL,Vehicle.SPEEDREL,1 numeric,"Codes Attributes 0 No 2 Yes, Racing 3 Yes, Exceeded Speed Limit 4 Yes, Too Fast for Conditions 5 Yes, Specifics Unknown 9 Reported as Unknown",This element identifies if the driver was speeding and it was related to the crash as identified by law enforcement.,VERIFIED_SAS_NAME_AND_DEFINITION
