scenario_id,metric,value
C05_BATTERY_THERMAL_ATTACK,prediction_end_to_end_std_ms,0.27343994656999804
C05_BATTERY_THERMAL_ATTACK,y3_mean,0.31444672619303066
C05_BATTERY_THERMAL_ATTACK,y6_mean,0.9527447854479154
C05_BATTERY_THERMAL_ATTACK,cpu_only,True
C05_BATTERY_THERMAL_ATTACK,laboratory_only,True
C05_BATTERY_THERMAL_ATTACK,direct_actuation,False
C05_BATTERY_THERMAL_ATTACK,model_retraining,False
C06_HV_CONTACTOR_ATTACK,records,9000
C06_HV_CONTACTOR_ATTACK,timesteps,600
C06_HV_CONTACTOR_ATTACK,windows,589
C06_HV_CONTACTOR_ATTACK,measured_windows,120
C06_HV_CONTACTOR_ATTACK,feature_build_mean_ms,34488.39136666659
C06_HV_CONTACTOR_ATTACK,feature_build_median_ms,34903.216100000005
C06_HV_CONTACTOR_ATTACK,feature_build_p95_ms,36269.016409999946
C06_HV_CONTACTOR_ATTACK,feature_build_p99_ms,36390.42088199994
C06_HV_CONTACTOR_ATTACK,window_build_mean_ms,1.2973999999606651
C06_HV_CONTACTOR_ATTACK,window_build_median_ms,1.3314000002537796
C06_HV_CONTACTOR_ATTACK,window_build_p95_ms,1.3574099998095335
C06_HV_CONTACTOR_ATTACK,window_build_p99_ms,1.359721999770045
C06_HV_CONTACTOR_ATTACK,feature_window_mean_ms,34489.68876666656
C06_HV_CONTACTOR_ATTACK,feature_window_p95_ms,36270.334720000166
C06_HV_CONTACTOR_ATTACK,feature_window_p99_ms,36391.74966400019
C06_HV_CONTACTOR_ATTACK,transformer_mean_ms,2.72551583331051
C06_HV_CONTACTOR_ATTACK,transformer_median_ms,2.5566000001617795
C06_HV_CONTACTOR_ATTACK,transformer_p95_ms,3.405340000176693
C06_HV_CONTACTOR_ATTACK,transformer_p99_ms,3.919595000152186
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_mean_ms,2.8109408333269434
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_median_ms,2.6443500000823406
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_p95_ms,3.486479999742187
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_p99_ms,4.051789000236568
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_min_ms,2.227999999831809
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_max_ms,4.365899999811518
C06_HV_CONTACTOR_ATTACK,prediction_end_to_end_std_ms,0.4242226937623708
C06_HV_CONTACTOR_ATTACK,y3_mean,0.31444672619303066
C06_HV_CONTACTOR_ATTACK,y6_mean,0.9527447854479154
C06_HV_CONTACTOR_ATTACK,cpu_only,True
C06_HV_CONTACTOR_ATTACK,laboratory_only,True
C06_HV_CONTACTOR_ATTACK,direct_actuation,False
C06_HV_CONTACTOR_ATTACK,model_retraining,False
C07_HEARTBEAT_INTEGRITY_ATTACK,records,9000
C07_HEARTBEAT_INTEGRITY_ATTACK,timesteps,600
C07_HEARTBEAT_INTEGRITY_ATTACK,windows,589
C07_HEARTBEAT_INTEGRITY_ATTACK,measured_windows,120
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_build_mean_ms,34708.292966666704
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_build_median_ms,33577.2778999999
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_build_p95_ms,37549.03145000003
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_build_p99_ms,37902.07621000004
C07_HEARTBEAT_INTEGRITY_ATTACK,window_build_mean_ms,1.4450333331600025
C07_HEARTBEAT_INTEGRITY_ATTACK,window_build_median_ms,1.0638999997354404
C07_HEARTBEAT_INTEGRITY_ATTACK,window_build_p95_ms,2.194930000041495
C07_HEARTBEAT_INTEGRITY_ATTACK,window_build_p99_ms,2.2954660000687
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_window_mean_ms,34709.73799999987
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_window_p95_ms,37550.2210199998
C07_HEARTBEAT_INTEGRITY_ATTACK,feature_window_p99_ms,37903.165243999785
C07_HEARTBEAT_INTEGRITY_ATTACK,transformer_mean_ms,3.636671666674829
C07_HEARTBEAT_INTEGRITY_ATTACK,transformer_median_ms,3.5048500001266802
C07_HEARTBEAT_INTEGRITY_ATTACK,transformer_p95_ms,4.274319999990438
C07_HEARTBEAT_INTEGRITY_ATTACK,transformer_p99_ms,6.816596999906327
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_mean_ms,3.7319025000291126
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_median_ms,3.59054999989894
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_p95_ms,4.392639999696256
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_p99_ms,6.973241000118836
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_min_ms,3.0273000002125627
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_max_ms,8.810299999822746
C07_HEARTBEAT_INTEGRITY_ATTACK,prediction_end_to_end_std_ms,0.6924904398147165
C07_HEARTBEAT_INTEGRITY_ATTACK,y3_mean,0.31444672619303066
C07_HEARTBEAT_INTEGRITY_ATTACK,y6_mean,0.9527447854479154
C07_HEARTBEAT_INTEGRITY_ATTACK,cpu_only,True
C07_HEARTBEAT_INTEGRITY_ATTACK,laboratory_only,True
C07_HEARTBEAT_INTEGRITY_ATTACK,direct_actuation,False
C07_HEARTBEAT_INTEGRITY_ATTACK,model_retraining,False
C08_SEQUENCE_GATEWAY_ATTACK,records,9000
C08_SEQUENCE_GATEWAY_ATTACK,timesteps,600
C08_SEQUENCE_GATEWAY_ATTACK,windows,589
C08_SEQUENCE_GATEWAY_ATTACK,measured_windows,120
C08_SEQUENCE_GATEWAY_ATTACK,feature_build_mean_ms,35023.48506666658
C08_SEQUENCE_GATEWAY_ATTACK,feature_build_median_ms,35313.657700000025
C08_SEQUENCE_GATEWAY_ATTACK,feature_build_p95_ms,35663.803329999704
C08_SEQUENCE_GATEWAY_ATTACK,feature_build_p99_ms,35694.927385999676
C08_SEQUENCE_GATEWAY_ATTACK,window_build_mean_ms,1.14379999998467
C08_SEQUENCE_GATEWAY_ATTACK,window_build_median_ms,1.1746000000130152
C08_SEQUENCE_GATEWAY_ATTACK,window_build_p95_ms,1.241740000068603
C08_SEQUENCE_GATEWAY_ATTACK,window_build_p99_ms,1.247708000073544
C08_SEQUENCE_GATEWAY_ATTACK,feature_window_mean_ms,35024.62886666657
C08_SEQUENCE_GATEWAY_ATTACK,feature_window_p95_ms,35665.02836999975
C08_SEQUENCE_GATEWAY_ATTACK,feature_window_p99_ms,35696.17175399974
C08_SEQUENCE_GATEWAY_ATTACK,transformer_mean_ms,2.8076558333092785
C08_SEQUENCE_GATEWAY_ATTACK,transformer_median_ms,2.749650000168913
C08_SEQUENCE_GATEWAY_ATTACK,transformer_p95_ms,3.4701499995890117
C08_SEQUENCE_GATEWAY_ATTACK,transformer_p99_ms,3.770279999957893
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_mean_ms,2.8973208333089437
C08_SEQUENCE_GATEWAY_ATTACK,prediction_end_to_end_median_ms,2.839249999851745
